,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
87,SRD129_P164_N_D3,164,N,3,Control,Moraxella,0.379282583,3_Control,3.792825834,37.92825834
88,SRD129_P164_N_D36,164,N,36,Control,Moraxella,0.479164186,36_Control,4.791641862,47.91641862
89,SRD129_P164_N_D42,164,N,42,Control,Moraxella,0.434862069,42_Control,4.34862069,43.4862069
90,SRD129_P164_N_D7,164,N,7,Control,Moraxella,0.54855609,7_Control,5.485560895,54.85560895
91,SRD129_P165_N_D0,165,N,0,Control,Moraxella,0.379242261,0_Control,3.792422606,37.92422606
92,SRD129_P165_N_D1,165,N,1,Control,Moraxella,0.304452676,1_Control,3.044526758,30.44526758
93,SRD129_P165_N_D10,165,N,10,Control,Moraxella,0.470748048,10_Control,4.707480481,47.07480481
94,SRD129_P165_N_D14,165,N,14,Control,Moraxella,0.490897332,14_Control,4.908973323,49.08973323
95,SRD129_P165_N_D21,165,N,21,Control,Moraxella,0.374750183,21_Control,3.747501828,37.47501828
96,SRD129_P165_N_D3,165,N,3,Control,Moraxella,0.289870245,3_Control,2.898702452,28.98702452
97,SRD129_P165_N_D36,165,N,36,Control,Moraxella,0.423196596,36_Control,4.231965964,42.31965964
98,SRD129_P165_N_D42,165,N,42,Control,Moraxella,0.473314298,42_Control,4.733142983,47.33142983
99,SRD129_P165_N_D7,165,N,7,Control,Moraxella,0.413238311,7_Control,4.132383112,41.32383112
100,SRD129_P166_N_D0,166,N,0,Control,Moraxella,0.393661731,0_Control,3.936617309,39.36617309
101,SRD129_P166_N_D1,166,N,1,Control,Moraxella,0.379108207,1_Control,3.791082068,37.91082068
102,SRD129_P166_N_D10,166,N,10,Control,Moraxella,0.493461694,10_Control,4.934616942,49.34616942
103,SRD129_P166_N_D14,166,N,14,Control,Moraxella,0.367037878,14_Control,3.670378777,36.70378777
104,SRD129_P166_N_D21,166,N,21,Control,Moraxella,0.365137394,21_Control,3.651373935,36.51373935
105,SRD129_P166_N_D3,166,N,3,Control,Moraxella,0.499522065,3_Control,4.995220647,49.95220647
106,SRD129_P166_N_D36,166,N,36,Control,Moraxella,0.36849358,36_Control,3.684935797,36.84935797
107,SRD129_P166_N_D42,166,N,42,Control,Moraxella,0.234964029,42_Control,2.349640288,23.49640288
108,SRD129_P166_N_D7,166,N,7,Control,Moraxella,0.406373953,7_Control,4.063739533,40.63739533
109,SRD129_P167_N_D0,167,N,0,Control,Moraxella,0.314732725,0_Control,3.147327249,31.47327249
110,SRD129_P167_N_D1,167,N,1,Control,Moraxella,0.275330167,1_Control,2.753301674,27.53301674
111,SRD129_P167_N_D10,167,N,10,Control,Moraxella,0.425190272,10_Control,4.251902717,42.51902717
112,SRD129_P167_N_D14,167,N,14,Control,Moraxella,0.403657814,14_Control,4.036578138,40.36578138
113,SRD129_P167_N_D21,167,N,21,Control,Moraxella,0.421177754,21_Control,4.211777544,42.11777544
114,SRD129_P167_N_D3,167,N,3,Control,Moraxella,0.33213554,3_Control,3.321355398,33.21355398
115,SRD129_P167_N_D36,167,N,36,Control,Moraxella,0.43815018,36_Control,4.381501797,43.81501797
116,SRD129_P167_N_D42,167,N,42,Control,Moraxella,0.50950935,42_Control,5.095093495,50.95093495
117,SRD129_P167_N_D7,167,N,7,Control,Moraxella,0.411245825,7_Control,4.112458255,41.12458255
118,SRD129_P168_N_D0,168,N,0,Control,Moraxella,0.349172798,0_Control,3.491727979,34.91727979
119,SRD129_P168_N_D1,168,N,1,Control,Moraxella,0.372213551,1_Control,3.72213551,37.2213551
120,SRD129_P168_N_D10,168,N,10,Control,Moraxella,0.315867028,10_Control,3.158670282,31.58670282
121,SRD129_P168_N_D14,168,N,14,Control,Moraxella,0.335405355,14_Control,3.354053548,33.54053548
122,SRD129_P168_N_D21,168,N,21,Control,Moraxella,0.297151277,21_Control,2.97151277,29.7151277
123,SRD129_P168_N_D3,168,N,3,Control,Moraxella,0.355806478,3_Control,3.558064782,35.58064782
124,SRD129_P168_N_D36,168,N,36,Control,Moraxella,0.07195283,36_Control,0.719528299,7.19528299
125,SRD129_P168_N_D42,168,N,42,Control,Moraxella,0.111880274,42_Control,1.118802743,11.18802743
126,SRD129_P168_N_D7,168,N,7,Control,Moraxella,0.332176376,7_Control,3.321763759,33.21763759
127,SRD129_P169_N_D0,169,N,0,Control,Moraxella,0.427982124,0_Control,4.279821244,42.79821244
128,SRD129_P169_N_D1,169,N,1,Control,Moraxella,0.210948682,1_Control,2.109486825,21.09486825
129,SRD129_P169_N_D10,169,N,10,Control,Moraxella,0.571997625,10_Control,5.719976253,57.19976253
130,SRD129_P169_N_D14,169,N,14,Control,Moraxella,0.503834138,14_Control,5.03834138,50.3834138
131,SRD129_P169_N_D21,169,N,21,Control,Moraxella,0.390032034,21_Control,3.900320337,39.00320337
132,SRD129_P169_N_D3,169,N,3,Control,Moraxella,0.405293752,3_Control,4.052937521,40.52937521
133,SRD129_P169_N_D36,169,N,36,Control,Moraxella,0.420201223,36_Control,4.202012231,42.02012231
134,SRD129_P169_N_D42,169,N,42,Control,Moraxella,0.32524324,42_Control,3.252432403,32.52432403
135,SRD129_P169_N_D7,169,N,7,Control,Moraxella,0.449072216,7_Control,4.490722159,44.90722159
