"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0662",1.66652629669046,4.12345027113318,1.68585221395812,2.44591443840262,0.0144485284438297,0.0477030780367711,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK3A20_group","4.8e-02","IAV","Otu0662","D28_IAVvsControl","Lachnospiraceae Lachnospiraceae_NK3A20_group"
"Otu06682",1.52517385595549,4.02086021663046,1.6194795304268,2.4828101504752,0.0130350538295535,0.0441766894866999,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","4.4e-02","IAV","Otu0668","D28_IAVvsControl","Microbacteriaceae Leucobacter"
"Otu0700",3.35225739203626,5.14856843035142,1.25488486069683,4.10282137557422,4.08142351705042e-05,0.00038588004161204,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","0.0e+00","IAV","Otu0700","D28_IAVvsControl","Dysgonomonadaceae Dysgonomonas"
"Otu0775",3.2787324403508,-4.17716041675048,1.35288765654505,-3.08758853445226,0.00201787653929344,0.0104929580043259,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","1.0e-02","Control","Otu0775","D28_IAVvsControl","Rikenellaceae Alistipes"
"Otu00085",577.339442911613,1.16791299228432,0.198036306424712,5.89746907205787,3.69119427285636e-09,5.43425823503853e-08,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","0.0e+00","IAV","Otu0008","D36_IAVvsControl","Prevotellaceae Prevotella_9"
"Otu00175",346.417091061105,-0.391761454997915,0.148956199938168,-2.63004463836038,0.00853736573702476,0.0272578544615851,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","2.7e-02","Control","Otu0017","D36_IAVvsControl","Clostridiaceae_1 Clostridium_sensu_stricto_1"
"Otu00225",143.868243798534,-4.09505452354658,0.583431614812407,-7.01891090503088,2.23604303029545e-12,4.93792835856913e-11,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","0.0e+00","Control","Otu0022","D36_IAVvsControl","Micrococcaceae Rothia"
"Otu00234",92.2322057719764,0.776096420405229,0.216729898931228,3.5809384133543,0.000342362354246208,0.00157073178232047,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","2.0e-03","IAV","Otu0023","D36_IAVvsControl","Lachnospiraceae Blautia"
"Otu00263",27.889472821123,0.847499664633727,0.323939014986005,2.61623214687598,0.00889060884953096,0.0280477541086393,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","2.8e-02","IAV","Otu0026","D36_IAVvsControl","Ruminococcaceae Faecalibacterium"
"Otu00306",56.9436913543388,0.949474196295977,0.397366832248187,2.38941481583686,0.0168752367308056,0.0494869004978366,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","4.9e-02","IAV","Otu0030","D36_IAVvsControl","Streptococcaceae Lactococcus"
"Otu00335",24.6121060342437,3.479081678263,0.405056931008464,8.58911775586999,8.76396622793656e-18,4.64490210080638e-16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","0.0e+00","IAV","Otu0033","D36_IAVvsControl","Lachnospiraceae Agathobacter"
"Otu00355",42.4433529082138,-1.4680278758651,0.405995453333327,-3.61587269958867,0.000299337459980903,0.00141650762312392,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","1.0e-03","Control","Otu0035","D36_IAVvsControl","Moraxellaceae Acinetobacter"
"Otu00395",41.6899951751951,1.88270752496436,0.229817216414226,8.19219532087159,2.56503924329641e-16,1.13289233245591e-14,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","uncultured","0.0e+00","IAV","Otu0039","D36_IAVvsControl","Veillonellaceae uncultured"
"Otu00402",21.402443634014,0.865493716499419,0.209484876051638,4.13153318183253,3.6035166075563e-05,0.00021702997750055,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","0.0e+00","IAV","Otu0040","D36_IAVvsControl","Coriobacteriaceae Collinsella"
"Otu00413",164.725602679676,-2.23887158051525,0.402242526840323,-5.56597433419567,2.60691615341884e-08,3.14014900298178e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","0.0e+00","Control","Otu0041","D36_IAVvsControl","Aerococcaceae Aerococcus"
"Otu00424",87.9954331032892,1.63803647823486,0.373343676009744,4.38747616068393,1.14673558032989e-05,7.79192125095954e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","uncultured","0.0e+00","IAV","Otu0042","D36_IAVvsControl","Prevotellaceae uncultured"
"Otu00434",147.913675296666,0.614857010691578,0.209670422071248,2.932492836222,0.0033625267994411,0.0118809280246919,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","1.2e-02","IAV","Otu0043","D36_IAVvsControl","Succinivibrionaceae Succinivibrio"
"Otu00454",70.8231783238914,3.35754118863074,0.253513677659058,13.2440238319062,4.88593299571163e-40,1.29477224386358e-37,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succiniclasticum","0.0e+00","IAV","Otu0045","D36_IAVvsControl","Acidaminococcaceae Succiniclasticum"
"Otu00537",4.0843798845164,1.28413698171348,0.467443052263108,2.74715171291216,0.0060115319613844,0.0197405852387701,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","2.0e-02","IAV","Otu0053","D36_IAVvsControl","Atopobiaceae Olsenella"
"Otu00562",28.6368672865342,0.830457758773921,0.18100873635682,4.58794296611657,4.47634885349614e-06,3.48891895934258e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","0.0e+00","IAV","Otu0056","D36_IAVvsControl","Ruminococcaceae Subdoligranulum"
"Otu00576",232.038334411053,0.668641856292131,0.227095305854965,2.94432266565281,0.00323662368914005,0.0115906118597583,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2","1.2e-02","IAV","Otu0057","D36_IAVvsControl","Spirochaetaceae Treponema_2"
"Otu00603",155.434022723387,-1.69647631339843,0.1769445377009,-9.587616184378,9.0143588126252e-22,7.96268361781892e-20,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005","0.0e+00","Control","Otu0060","D36_IAVvsControl","Ruminococcaceae Ruminococcaceae_UCG-005"
"Otu00632",41.6014338735521,-1.59977124192312,0.265229482517151,-6.0316493729903,1.62294612049163e-09,2.52988659958989e-08,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio","0.0e+00","Control","Otu0063","D36_IAVvsControl","Veillonellaceae Anaerovibrio"
"Otu00725",42.7854062485852,-1.09822913691007,0.358135828406191,-3.06651568986412,0.00216569441966656,0.00808322565086815,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","8.0e-03","Control","Otu0072","D36_IAVvsControl","Enterococcaceae Enterococcus"
"Otu00754",6.53377982041391,1.60501281838176,0.439183183258956,3.65454070092523,0.000257642790995252,0.00128821395497626,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_6","1.0e-03","IAV","Otu0075","D36_IAVvsControl","Clostridiaceae_1 Clostridium_sensu_stricto_6"
"Otu00764",58.8577253747446,-7.45642945587563,0.577801225330196,-12.9048349657177,4.22720162212583e-38,5.60104214931672e-36,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_AC2044_group","0.0e+00","Control","Otu0076","D36_IAVvsControl","Lachnospiraceae Lachnospiraceae_AC2044_group"
"Otu00774",7.47663188400957,-3.59432028636858,0.616998068268138,-5.82549682279807,5.69429427947779e-09,7.18565706696007e-08,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","0.0e+00","Control","Otu0077","D36_IAVvsControl","Weeksellaceae Bergeyella"
"Otu00903",28.2933224361808,1.18731222126224,0.326321932229088,3.63846895963067,0.000274263676376482,0.00134592359703274,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","1.0e-03","IAV","Otu0090","D36_IAVvsControl","Lachnospiraceae Lachnospiraceae_ge"
"Otu00915",35.5041578571344,-1.95932938099447,0.264928330471737,-7.39569595107345,1.40669549813396e-13,4.14193674450553e-12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_XPB1014_group","0.0e+00","Control","Otu0091","D36_IAVvsControl","Lachnospiraceae Lachnospiraceae_XPB1014_group"
"Otu00925",1.08365804623954,-3.680940844707,1.09092678128439,-3.37414105864493,0.000740464135817662,0.00316488703212388,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","3.0e-03","Control","Otu0092","D36_IAVvsControl","Family_XI Anaerococcus"
"Otu01012",123.794165702809,1.43844276387616,0.299625087050089,4.80080883092308,1.58026068541951e-06,1.30865338011303e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","0.0e+00","IAV","Otu0101","D36_IAVvsControl","Rikenellaceae Rikenellaceae_RC9_gut_group"
"Otu01074",4.21807233688286,2.00289823658993,0.522910328669833,3.83029006461749,0.000127992291836262,0.000652268410319412,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenisphaera","1.0e-03","IAV","Otu0107","D36_IAVvsControl","Erysipelotrichaceae Catenisphaera"
"Otu01087",18.1736176801787,3.82160292050183,0.531166260582883,7.19473958362517,6.25800902119277e-13,1.65837239061608e-11,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","0.0e+00","IAV","Otu0108","D36_IAVvsControl","Prevotellaceae Prevotella_7"
"Otu01101",28.746894752209,-1.09744264668715,0.26865394750261,-4.08496750890469,4.40829846382449e-05,0.000253956324546411,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","0.0e+00","Control","Otu0110","D36_IAVvsControl","Tannerellaceae Parabacteroides"
"Otu01153",49.5320437279591,2.10300039506601,0.228462074510077,9.20503063616035,3.41573776018489e-20,2.26292626612249e-18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","0.0e+00","IAV","Otu0115","D36_IAVvsControl","Ruminococcaceae Ruminococcaceae_UCG-014"
"Otu01194",6.19708731296559,3.80224610992482,0.6525743608475,5.82653309423134,5.65906491613935e-09,7.18565706696007e-08,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","0.0e+00","IAV","Otu0119","D36_IAVvsControl","Erysipelotrichaceae Catenibacterium"
"Otu01293",7.28958799881136,1.47761214938634,0.453003306838233,3.26181316357143,0.00110702080494555,0.00465651608429477,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1","5.0e-03","IAV","Otu0129","D36_IAVvsControl","Lachnospiraceae Coprococcus_1"
"Otu01343",20.9993209498132,-0.872518448533965,0.272144712984542,-3.20608267184498,0.00134555324482973,0.00540260014969513,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","5.0e-03","Control","Otu0134","D36_IAVvsControl","Peptostreptococcaceae Intestinibacter"
"Otu01411",14.5216668231281,0.990936866694766,0.311467125932668,3.18151350235589,0.0014650769339959,0.00579470727625243,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-008","6.0e-03","IAV","Otu0141","D36_IAVvsControl","Ruminococcaceae Ruminococcaceae_UCG-008"
"Otu01422",0.866496007302872,3.21065169722167,1.34116003805148,2.39393629852431,0.016668643471393,0.0494869004978366,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Myroides","4.9e-02","IAV","Otu0142","D36_IAVvsControl","Flavobacteriaceae Myroides"
"Otu01435",3.27441690666578,4.2818776449979,0.849166537548806,5.04244745366194,4.59614990674927e-07,4.19993008720192e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_ge","0.0e+00","IAV","Otu0143","D36_IAVvsControl","Family_XIII Family_XIII_ge"
"Otu01445",3.41492843904053,3.02447870715986,0.706566507568155,4.28052939781911,1.86449254844004e-05,0.000117640601270622,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter","0.0e+00","IAV","Otu0144","D36_IAVvsControl","Eubacteriaceae Pseudoramibacter"
"Otu01503",14.7888285374615,1.1041817834372,0.464298799893665,2.37817066012249,0.0173987713643947,0.049577144210372,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified","5.0e-02","IAV","Otu0150","D36_IAVvsControl","Erysipelotrichaceae Erysipelotrichaceae_unclassified"
"Otu01551",3.81496390356505,1.64879106502988,0.529607127815002,3.11323427959191,0.00185049060026951,0.00713058456912039,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","7.0e-03","IAV","Otu0155","D36_IAVvsControl","Erysipelotrichaceae Holdemanella"
"Otu01664",4.38693005575021,3.98644968515657,0.780010903620448,5.11076148635016,3.20862866011133e-07,3.14920961085001e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Syntrophococcus","0.0e+00","IAV","Otu0166","D36_IAVvsControl","Lachnospiraceae Syntrophococcus"
"Otu01684",22.0194454239792,0.613148535650508,0.22235692226921,2.75749695306613,0.00582457561349754,0.0195381333870487,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","2.0e-02","IAV","Otu0168","D36_IAVvsControl","Lachnospiraceae Marvinbryantia"
"Otu0176",15.5474322932809,-1.04139634295494,0.412910956189095,-2.52208454957545,0.0116661664005142,0.035534874668233,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Mitsuokella","3.6e-02","Control","Otu0176","D36_IAVvsControl","Veillonellaceae Mitsuokella"
"Otu01772",11.0688388331002,-1.17341928788685,0.49175292501616,-2.38619686471267,0.0170236354128661,0.0494869004978366,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","4.9e-02","Control","Otu0177","D36_IAVvsControl","Bacteroidaceae Bacteroides"
"Otu0178",26.8465794569734,-2.40802839511862,0.393951364041923,-6.11250173222491,9.80812427740511e-10,1.62447058344522e-08,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","0.0e+00","Control","Otu0178","D36_IAVvsControl","Bacteria_unclassified Bacteria_unclassified"
"Otu01794",6.86020605703725,2.55810260135319,0.623666551496871,4.10171524384858,4.10098771525649e-05,0.000241502609898437,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus","0.0e+00","IAV","Otu0179","D36_IAVvsControl","Acidaminococcaceae Acidaminococcus"
"Otu01801",7.30966077479627,-1.28241058415344,0.353263894222907,-3.63017734086417,0.000283226557554963,0.00136463705003755,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","1.0e-03","Control","Otu0180","D36_IAVvsControl","Eggerthellaceae Enterorhabdus"
"Otu01911",33.3824342700361,1.70955092048654,0.259346012196706,6.59177639172605,4.34594826570207e-11,8.22625921722178e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1","0.0e+00","IAV","Otu0191","D36_IAVvsControl","Ruminococcaceae Ruminococcus_1"
