"","OTU","Size","Taxonomy"
"61","Otu0061",5188,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;"
"62","Otu0062",5034,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001;"
"63","Otu0063",4809,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;"
"64","Otu0064",4777,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;"
"65","Otu0065",4519,"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_6;"
"66","Otu0066",4502,"Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2;"
"67","Otu0067",4411,"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;"
"68","Otu0068",4225,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_AC2044_group;"
"69","Otu0069",4203,"Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2;"
"70","Otu0070",4173,"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Bergeyella;"
"71","Otu0071",4084,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerovibrio;"
"72","Otu0072",4047,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;"
"73","Otu0073",3994,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_2;"
"74","Otu0074",3976,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;"
"75","Otu0075",3681,"Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2;"
"76","Otu0076",3661,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;"
"77","Otu0077",3643,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;"
"78","Otu0078",3540,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;"
