,Category,x,avg,Genus,Treatment,Day,,,
119,Alloprevotella,0.016078057,0.229686526,Other,IAV,D0,,,
120,Anaerococcus,0.005059951,0.07228502,Other,IAV,D0,,,
121,Anaerovibrio,0.002346398,0.033519977,Other,IAV,D0,,,
122,Bacteria_unclassified,0.000625893,0.008941332,Other,IAV,D0,,,
123,Bacteroidales_unclassified,0.004665869,0.066655268,Other,IAV,D0,,,
124,Bacteroides,0.006068029,0.086686124,Other,IAV,D0,,,
125,Bergeyella,0.012687098,0.181244254,Other,IAV,D0,,,
126,Blautia,0.035225287,0.503218385,Other,IAV,D0,,,
127,Brachybacterium,0,0,Other,IAV,D0,,,
128,Burkholderiaceae_unclassified,0.000741188,0.010588407,Other,IAV,D0,,,
129,Carnobacteriaceae_unclassified,0.20361146,2.908735137,Carnobacteriaceae_unclassified,IAV,D0,,,
130,Catenibacterium,0.001424741,0.02035344,Other,IAV,D0,,,
131,Catenisphaera,0.000637818,0.009111684,Other,IAV,D0,,,
132,Christensenellaceae_R-7_group,0.004715452,0.0673636,Other,IAV,D0,,,
133,Chryseobacterium,0.000489292,0.00698988,Other,IAV,D0,,,
134,Clostridiales_unclassified,0.001978215,0.028260208,Other,IAV,D0,,,
135,Clostridiales_vadinBB60_group_ge,0.000661316,0.00944737,Other,IAV,D0,,,
136,Clostridium_sensu_stricto_1,0.080935997,1.156228522,Clostridium_sensu_stricto_1,IAV,D0,,,
137,Clostridium_sensu_stricto_6,0.009638402,0.137691451,Other,IAV,D0,,,
138,Collinsella,0.011972667,0.171038098,Other,IAV,D0,,,
139,Coprococcus_1,0.001052257,0.015032241,Other,IAV,D0,,,
140,Coprococcus_3,0.002913223,0.041617465,Other,IAV,D0,,,
141,Corynebacterium_1,0.000384448,0.005492112,Other,IAV,D0,,,
142,Dialister,0,0,Other,IAV,D0,,,
143,Dorea,0.007605917,0.108655956,Other,IAV,D0,,,
144,Eggerthellaceae_unclassified,0.005619759,0.080282267,Other,IAV,D0,,,
145,Empedobacter,3.17E-05,0.000452595,Other,IAV,D0,,,
146,Enhydrobacter,0.000226364,0.003233769,Other,IAV,D0,,,
147,Enterobacteriaceae_unclassified,0.001044698,0.01492425,Other,IAV,D0,,,
148,Enterococcus,0.000978957,0.013985107,Other,IAV,D0,,,
149,Erysipelotrichaceae_unclassified,0.005259424,0.075134623,Other,IAV,D0,,,
150,Escherichia-Shigella,0.030921595,0.441737077,Other,IAV,D0,,,
151,Faecalibacterium,0.011048172,0.157831021,Other,IAV,D0,,,
152,Family_XIII_AD3011_group,0.0066484,0.094977149,Other,IAV,D0,,,
153,Family_XIII_ge,0.002652769,0.037896702,Other,IAV,D0,,,
154,Fusobacterium,0.006654183,0.095059755,Other,IAV,D0,,,
155,Holdemanella,0.001498319,0.02140455,Other,IAV,D0,,,
156,Intestinibacter,0.001411261,0.020160871,Other,IAV,D0,,,
157,Lachnospiraceae_AC2044_group,0.003340709,0.047724416,Other,IAV,D0,,,
158,Lachnospiraceae_ge,0.00748139,0.106876994,Other,IAV,D0,,,
159,Lachnospiraceae_NK4A136_group,0.001219807,0.017425818,Other,IAV,D0,,,
160,Lachnospiraceae_unclassified,0.013783118,0.196901679,Other,IAV,D0,,,
161,Lachnospiraceae_XPB1014_group,0.000575923,0.008227469,Other,IAV,D0,,,
162,Lactobacillus,0.037641354,0.537733633,Other,IAV,D0,,,
163,Lactococcus,0.001117497,0.015964248,Other,IAV,D0,,,
164,Leuconostoc,7.61E-05,0.001087532,Other,IAV,D0,,,
165,Marvinbryantia,0.002295425,0.032791793,Other,IAV,D0,,,
166,Megasphaera,0.020703238,0.295760547,Other,IAV,D0,,,
167,Mogibacterium,0.014171663,0.202452327,Other,IAV,D0,,,
168,Mollicutes_RF39_ge,0.002995224,0.042788915,Other,IAV,D0,,,
169,Moraxella,2.882391547,41.1770221,Moraxella,IAV,D0,,,
170,Moraxellaceae_unclassified,0.003840323,0.054861764,Other,IAV,D0,,,
171,Muribaculaceae_ge,0.005720718,0.081724537,Other,IAV,D0,,,
172,Muribaculaceae_unclassified,0.0046453,0.06636143,Other,IAV,D0,,,
173,Neisseriaceae_unclassified,0.172729255,2.467560787,Neisseriaceae_unclassified,IAV,D0,,,
174,Olsenella,0.000389578,0.005565403,Other,IAV,D0,,,
175,Oscillospira,0.003384241,0.048346298,Other,IAV,D0,,,
176,Parabacteroides,0.00132828,0.018975432,Other,IAV,D0,,,
177,Parvimonas,0.001373092,0.019615599,Other,IAV,D0,,,
178,Pasteurellaceae_unclassified,0.036170849,0.516726412,Other,IAV,D0,,,
179,Pediococcus,0.003715654,0.053080772,Other,IAV,D0,,,
180,Peptococcus,0.002195963,0.031370901,Other,IAV,D0,,,
181,Peptostreptococcus,0.003393084,0.048472635,Other,IAV,D0,,,
182,Phascolarctobacterium,0.024694477,0.352778245,Other,IAV,D0,,,
183,Porphyromonas,0.019277955,0.275399356,Other,IAV,D0,,,
184,Prevotella_1,0.000395766,0.005653805,Other,IAV,D0,,,
185,Prevotella_2,0.010138453,0.144835038,Other,IAV,D0,,,
186,Prevotella_7,0.001539818,0.021997407,Other,IAV,D0,,,
187,Prevotella_9,0.033914082,0.484486885,Other,IAV,D0,,,
188,Prevotellaceae_NK3B31_group,0.033689025,0.481271781,Other,IAV,D0,,,
189,Prevotellaceae_UCG-001,0.000889907,0.012712954,Other,IAV,D0,,,
190,Prevotellaceae_UCG-003,0.00422079,0.060297007,Other,IAV,D0,,,
191,Prevotellaceae_unclassified,0.023301067,0.332872381,Other,IAV,D0,,,
192,Pseudoramibacter,0.000748357,0.010690813,Other,IAV,D0,,,
193,Rikenellaceae_RC9_gut_group,0.002172932,0.031041889,Other,IAV,D0,,,
194,Romboutsia,0.004479642,0.063994883,Other,IAV,D0,,,
195,Roseburia,0.000378291,0.00540415,Other,IAV,D0,,,
196,Rothia,0.022729197,0.324702817,Other,IAV,D0,,,
197,Ruminiclostridium_5,0.001957963,0.027970901,Other,IAV,D0,,,
198,Ruminiclostridium_9,0.002241502,0.03202146,Other,IAV,D0,,,
199,Ruminococcaceae_ge,0.002578675,0.036838214,Other,IAV,D0,,,
200,Ruminococcaceae_NK4A214_group,0.002903113,0.041473048,Other,IAV,D0,,,
201,Ruminococcaceae_UCG-002,0.013816998,0.197385686,Other,IAV,D0,,,
202,Ruminococcaceae_UCG-005,0.00705124,0.100731999,Other,IAV,D0,,,
203,Ruminococcaceae_UCG-008,0.000176728,0.002524687,Other,IAV,D0,,,
204,Ruminococcaceae_UCG-010,0.001012434,0.014463336,Other,IAV,D0,,,
205,Ruminococcaceae_UCG-014,0.003081726,0.044024661,Other,IAV,D0,,,
206,Ruminococcaceae_unclassified,0.006650855,0.095012214,Other,IAV,D0,,,
207,Ruminococcus_1,0.002244723,0.032067473,Other,IAV,D0,,,
208,Ruminococcus_2,0.001994055,0.028486506,Other,IAV,D0,,,
209,Solobacterium,0.001282557,0.018322244,Other,IAV,D0,,,
210,Sphingobacterium,4.97E-05,0.000709903,Other,IAV,D0,,,
211,Staphylococcus,0.053507996,0.764399941,Other,IAV,D0,,,
212,Streptococcus,0.714270587,10.20386553,Streptococcus,IAV,D0,,,
213,Subdoligranulum,0.007208139,0.102973413,Other,IAV,D0,,,
214,Succiniclasticum,0.00035336,0.005048006,Other,IAV,D0,,,
215,Succinivibrionaceae_unclassified,0.001739848,0.024854977,Other,IAV,D0,,,
216,Syntrophococcus,0.001646903,0.023527186,Other,IAV,D0,,,
217,Terrisporobacter,0.01711196,0.24445657,Other,IAV,D0,,,
218,Treponema_2,0.009638873,0.137698189,Other,IAV,D0,,,
219,Turicibacter,0.007325777,0.104653954,Other,IAV,D0,,,
220,uncultured,0.001330395,0.019005645,Other,IAV,D0,,,
221,uncultured.1,0.002160104,0.030858629,Other,IAV,D0,,,
222,uncultured.2,0.002392122,0.034173165,Other,IAV,D0,,,
223,Veillonella,0.015589438,0.222706251,Other,IAV,D0,,,
224,Veillonellaceae_unclassified,0.010812123,0.154458903,Other,IAV,D0,,,
225,Weeksellaceae_unclassified,0.420507897,6.007255667,Weeksellaceae_unclassified,IAV,D0,,,
226,Weissella,0.04811653,0.687379003,Other,IAV,D0,99.19511252,0.804887482,0.195112518
,Other,,0.195112518,Other,IAV,D0,,,
227,Acinetobacter,0.050478073,0.504780727,Other,Control,D1,,,
228,Actinobacillus,3.090579983,30.90579983,Actinobacillus,Control,D1,,,
229,Actinomyces,0.024506434,0.24506434,Other,Control,D1,,,
230,Aerococcus,0.000179928,0.001799283,Other,Control,D1,,,
231,Agathobacter,0.005044903,0.050449026,Other,Control,D1,,,
232,Alloprevotella,0.007544902,0.075449016,Other,Control,D1,,,
233,Anaerococcus,0.015255662,0.152556624,Other,Control,D1,,,
234,Anaerovibrio,0.002854545,0.028545451,Other,Control,D1,,,
235,Bacteria_unclassified,0.000867705,0.008677046,Other,Control,D1,,,
236,Bacteroidales_unclassified,0.008379533,0.083795334,Other,Control,D1,,,
237,Bacteroides,0.023462804,0.234628038,Other,Control,D1,,,
238,Bergeyella,0.008256329,0.082563295,Other,Control,D1,,,
239,Blautia,0.030433465,0.304334652,Other,Control,D1,,,
240,Brachybacterium,0,0,Other,Control,D1,,,
241,Burkholderiaceae_unclassified,0.001979508,0.019795076,Other,Control,D1,,,
242,Carnobacteriaceae_unclassified,0.250360494,2.503604942,Carnobacteriaceae_unclassified,Control,D1,,,
243,Catenibacterium,0.002212859,0.022128587,Other,Control,D1,,,
244,Catenisphaera,0.000817463,0.008174625,Other,Control,D1,,,
245,Christensenellaceae_R-7_group,0.002527667,0.025276674,Other,Control,D1,,,
246,Chryseobacterium,0.012135,0.121350002,Other,Control,D1,,,
247,Clostridiales_unclassified,0.000800494,0.008004937,Other,Control,D1,,,
248,Clostridiales_vadinBB60_group_ge,0.000424487,0.004244872,Other,Control,D1,,,
249,Clostridium_sensu_stricto_1,0.07196461,0.719646102,Other,Control,D1,,,
250,Clostridium_sensu_stricto_6,0.006590969,0.065909685,Other,Control,D1,,,
251,Collinsella,0.014263516,0.14263516,Other,Control,D1,,,
252,Coprococcus_1,0.000847548,0.008475484,Other,Control,D1,,,
253,Coprococcus_3,0.002587522,0.025875215,Other,Control,D1,,,
254,Corynebacterium_1,0.000486261,0.004862613,Other,Control,D1,,,
255,Dialister,0.005812166,0.058121661,Other,Control,D1,,,
256,Dorea,0.005632243,0.056322425,Other,Control,D1,,,
257,Eggerthellaceae_unclassified,0.002905384,0.02905384,Other,Control,D1,,,
258,Empedobacter,0.033021898,0.330218985,Other,Control,D1,,,
259,Enhydrobacter,0.003873231,0.038732306,Other,Control,D1,,,
260,Enterobacteriaceae_unclassified,0.007693523,0.076935227,Other,Control,D1,,,
261,Enterococcus,0.009649177,0.096491766,Other,Control,D1,,,
262,Erysipelotrichaceae_unclassified,0.001520406,0.015204064,Other,Control,D1,,,
263,Escherichia-Shigella,0.005179978,0.051799782,Other,Control,D1,,,
264,Faecalibacterium,0.015019255,0.150192548,Other,Control,D1,,,
265,Family_XIII_AD3011_group,0.004455334,0.044553342,Other,Control,D1,,,
266,Family_XIII_ge,0.007043533,0.070435327,Other,Control,D1,,,
267,Fusobacterium,0.050940877,0.509408772,Other,Control,D1,,,
268,Holdemanella,0.001012503,0.010125034,Other,Control,D1,,,
269,Intestinibacter,0.000373861,0.003738612,Other,Control,D1,,,
270,Lachnospiraceae_AC2044_group,0.000374431,0.00374431,Other,Control,D1,,,
271,Lachnospiraceae_ge,0.004491883,0.044918834,Other,Control,D1,,,
272,Lachnospiraceae_NK4A136_group,0.001754231,0.01754231,Other,Control,D1,,,
273,Lachnospiraceae_unclassified,0.010975763,0.109757626,Other,Control,D1,,,
274,Lachnospiraceae_XPB1014_group,0.000130348,0.001303478,Other,Control,D1,,,
275,Lactobacillus,0.029954332,0.299543317,Other,Control,D1,,,
276,Lactococcus,0.066158743,0.66158743,Other,Control,D1,,,
277,Leuconostoc,0.013678173,0.136781731,Other,Control,D1,,,
278,Marvinbryantia,0.002164364,0.021643637,Other,Control,D1,,,
279,Megasphaera,0.023672983,0.23672983,Other,Control,D1,,,
280,Mogibacterium,0.012643577,0.126435772,Other,Control,D1,,,
281,Mollicutes_RF39_ge,0.002050914,0.020509145,Other,Control,D1,,,
282,Moraxella,2.852767513,28.52767513,Moraxella,Control,D1,,,
283,Moraxellaceae_unclassified,0.00442817,0.0442817,Other,Control,D1,,,
284,Muribaculaceae_ge,0.005220668,0.052206682,Other,Control,D1,,,
285,Muribaculaceae_unclassified,0.000327688,0.003276884,Other,Control,D1,,,
286,Neisseriaceae_unclassified,0.486592003,4.865920033,Neisseriaceae_unclassified,Control,D1,,,
287,Olsenella,0.014280892,0.142808919,Other,Control,D1,,,
