,Category,x,avg,Genus,Treatment,Day,,,
743,Pasteurellaceae_unclassified,0.002155979,0.030799701,Other,IAV,D7,,,
744,Pediococcus,0.001982965,0.028328066,Other,IAV,D7,,,
745,Peptococcus,0.000323272,0.004618173,Other,IAV,D7,,,
746,Peptostreptococcus,0.005088969,0.072699564,Other,IAV,D7,,,
747,Phascolarctobacterium,0.006839614,0.097708776,Other,IAV,D7,,,
748,Porphyromonas,0.004402426,0.062891806,Other,IAV,D7,,,
749,Prevotella_1,0.001534574,0.02192248,Other,IAV,D7,,,
750,Prevotella_2,0.002877683,0.041109756,Other,IAV,D7,,,
751,Prevotella_7,0.001039232,0.014846173,Other,IAV,D7,,,
752,Prevotella_9,0.019513798,0.278768547,Other,IAV,D7,,,
753,Prevotellaceae_NK3B31_group,0.007872225,0.112460358,Other,IAV,D7,,,
754,Prevotellaceae_UCG-001,9.81E-05,0.001401681,Other,IAV,D7,,,
755,Prevotellaceae_UCG-003,0.000861964,0.012313778,Other,IAV,D7,,,
756,Prevotellaceae_unclassified,0.005390418,0.077005967,Other,IAV,D7,,,
757,Pseudoramibacter,0.000559582,0.007994023,Other,IAV,D7,,,
758,Rikenellaceae_RC9_gut_group,0.0002725,0.003892858,Other,IAV,D7,,,
759,Romboutsia,0.000702354,0.010033623,Other,IAV,D7,,,
760,Roseburia,0.00035651,0.005093001,Other,IAV,D7,,,
761,Rothia,0.010522676,0.150323943,Other,IAV,D7,,,
762,Ruminiclostridium_5,0.000732125,0.01045893,Other,IAV,D7,,,
763,Ruminiclostridium_9,0.001029442,0.014706317,Other,IAV,D7,,,
764,Ruminococcaceae_ge,0.000689427,0.009848957,Other,IAV,D7,,,
765,Ruminococcaceae_NK4A214_group,0.000923224,0.013188917,Other,IAV,D7,,,
766,Ruminococcaceae_UCG-002,0.003103775,0.044339638,Other,IAV,D7,,,
767,Ruminococcaceae_UCG-005,0.002624642,0.037494889,Other,IAV,D7,,,
768,Ruminococcaceae_UCG-008,6.61E-05,0.000944916,Other,IAV,D7,,,
769,Ruminococcaceae_UCG-010,0.000156045,0.002229209,Other,IAV,D7,,,
770,Ruminococcaceae_UCG-014,0.002552326,0.036461795,Other,IAV,D7,,,
771,Ruminococcaceae_unclassified,0.00112954,0.01613628,Other,IAV,D7,,,
772,Ruminococcus_1,0.000465596,0.006651373,Other,IAV,D7,,,
773,Ruminococcus_2,0.000498461,0.007120876,Other,IAV,D7,,,
774,Solobacterium,0.000206379,0.002948269,Other,IAV,D7,,,
775,Sphingobacterium,0.000167381,0.002391156,Other,IAV,D7,,,
776,Staphylococcus,0.002216863,0.031669467,Other,IAV,D7,,,
777,Streptococcus,1.03379888,14.76855543,Streptococcus,IAV,D7,,,
778,Subdoligranulum,0.005737121,0.081958875,Other,IAV,D7,,,
779,Succiniclasticum,0.000472965,0.006756648,Other,IAV,D7,,,
780,Succinivibrionaceae_unclassified,0.000118999,0.00169999,Other,IAV,D7,,,
781,Syntrophococcus,0.000124143,0.001773473,Other,IAV,D7,,,
782,Terrisporobacter,0.013543399,0.193477135,Other,IAV,D7,,,
783,Treponema_2,0.000843266,0.012046655,Other,IAV,D7,,,
784,Turicibacter,0.002294639,0.032780561,Other,IAV,D7,,,
785,uncultured,0.001114406,0.015920079,Other,IAV,D7,,,
786,uncultured.1,0.002380563,0.034008045,Other,IAV,D7,,,
787,uncultured.2,0.000365091,0.005215589,Other,IAV,D7,,,
788,Veillonella,0.002440396,0.034862798,Other,IAV,D7,,,
789,Veillonellaceae_unclassified,0.000682528,0.009750398,Other,IAV,D7,,,
790,Weeksellaceae_unclassified,0.678748772,9.696411023,Weeksellaceae_unclassified,IAV,D7,,,
791,Weissella,0.006626316,0.094661655,Other,IAV,D7,,,
792,Acinetobacter,0.030329753,0.303297525,Other,Control,D7,,,
793,Actinobacillus,2.219575285,22.19575285,Actinobacillus,Control,D7,,,
794,Actinomyces,0.003191258,0.031912582,Other,Control,D7,,,
795,Aerococcus,0.004527734,0.045277344,Other,Control,D7,,,
796,Agathobacter,0.009449121,0.094491211,Other,Control,D7,,,
797,Alloprevotella,0.008873111,0.088731113,Other,Control,D7,,,
798,Anaerococcus,0.010631279,0.106312794,Other,Control,D7,,,
799,Anaerovibrio,0.001108254,0.011082544,Other,Control,D7,,,
800,Bacteria_unclassified,0.000659709,0.006597092,Other,Control,D7,,,
801,Bacteroidales_unclassified,0.002046779,0.020467794,Other,Control,D7,,,
802,Bacteroides,0.003848658,0.038486583,Other,Control,D7,,,
803,Bergeyella,0.016247778,0.162477775,Other,Control,D7,,,
804,Blautia,0.047674654,0.476746542,Other,Control,D7,,,
805,Brachybacterium,0.00016638,0.001663801,Other,Control,D7,,,
806,Burkholderiaceae_unclassified,0.007306904,0.073069037,Other,Control,D7,,,
807,Carnobacteriaceae_unclassified,0.39967295,3.996729497,Carnobacteriaceae_unclassified,Control,D7,,,
808,Catenibacterium,0.003820294,0.038202942,Other,Control,D7,,,
809,Catenisphaera,0.010208715,0.102087153,Other,Control,D7,,,
810,Christensenellaceae_R-7_group,0.00160955,0.016095497,Other,Control,D7,,,
811,Chryseobacterium,0.12207026,1.220702598,Chryseobacterium,Control,D7,,,
812,Clostridiales_unclassified,0.000674781,0.006747813,Other,Control,D7,,,
813,Clostridiales_vadinBB60_group_ge,0.000466742,0.004667422,Other,Control,D7,,,
814,Clostridium_sensu_stricto_1,0.071334061,0.713340611,Other,Control,D7,,,
815,Clostridium_sensu_stricto_6,0.004782495,0.047824954,Other,Control,D7,,,
816,Collinsella,0.022224582,0.222245817,Other,Control,D7,,,
817,Coprococcus_1,0.001642856,0.016428562,Other,Control,D7,,,
818,Coprococcus_3,0.003739962,0.037399621,Other,Control,D7,,,
819,Corynebacterium_1,0.000470807,0.004708074,Other,Control,D7,,,
820,Dialister,0.017228684,0.172286842,Other,Control,D7,,,
821,Dorea,0.007725765,0.077257648,Other,Control,D7,,,
822,Eggerthellaceae_unclassified,0.007622149,0.076221494,Other,Control,D7,,,
823,Empedobacter,0.034499754,0.344997545,Other,Control,D7,,,
824,Enhydrobacter,0.01098717,0.1098717,Other,Control,D7,,,
825,Enterobacteriaceae_unclassified,0.004463829,0.044638293,Other,Control,D7,,,
826,Enterococcus,0.009309545,0.093095454,Other,Control,D7,,,
827,Erysipelotrichaceae_unclassified,0.002689296,0.026892962,Other,Control,D7,,,
828,Escherichia-Shigella,0.00677962,0.067796197,Other,Control,D7,,,
829,Faecalibacterium,0.014491058,0.144910575,Other,Control,D7,,,
830,Family_XIII_AD3011_group,0.005847713,0.058477133,Other,Control,D7,,,
831,Family_XIII_ge,0.010603502,0.106035018,Other,Control,D7,,,
832,Fusobacterium,0.01403221,0.140322099,Other,Control,D7,,,
833,Holdemanella,0.003245717,0.032457169,Other,Control,D7,,,
834,Intestinibacter,0.001792345,0.017923454,Other,Control,D7,,,
835,Lachnospiraceae_AC2044_group,0.000130496,0.001304961,Other,Control,D7,,,
836,Lachnospiraceae_ge,0.006608586,0.066085863,Other,Control,D7,,,
837,Lachnospiraceae_NK4A136_group,0.00150636,0.015063596,Other,Control,D7,,,
838,Lachnospiraceae_unclassified,0.009689883,0.096898831,Other,Control,D7,,,
839,Lachnospiraceae_XPB1014_group,6.41E-05,0.000640673,Other,Control,D7,,,
840,Lactobacillus,0.037674752,0.376747518,Other,Control,D7,,,
841,Lactococcus,0.09737175,0.973717501,Other,Control,D7,,,
842,Leuconostoc,0.015669442,0.156694425,Other,Control,D7,,,
843,Marvinbryantia,0.004461673,0.044616727,Other,Control,D7,,,
844,Megasphaera,0.021280342,0.212803421,Other,Control,D7,,,
845,Mogibacterium,0.024861581,0.248615812,Other,Control,D7,,,
846,Mollicutes_RF39_ge,0.002999032,0.029990323,Other,Control,D7,,,
847,Moraxella,3.658303742,36.58303742,Moraxella,Control,D7,,,
848,Moraxellaceae_unclassified,0.003700584,0.037005837,Other,Control,D7,,,
849,Muribaculaceae_ge,0.002347434,0.023474337,Other,Control,D7,,,
850,Muribaculaceae_unclassified,0.000105837,0.001058368,Other,Control,D7,,,
851,Neisseriaceae_unclassified,0.401790626,4.017906262,Neisseriaceae_unclassified,Control,D7,,,
852,Olsenella,0.054518721,0.545187214,Other,Control,D7,,,
853,Oscillospira,0.004117977,0.041179769,Other,Control,D7,,,
854,Parabacteroides,0.004266482,0.042664825,Other,Control,D7,,,
855,Parvimonas,0.003452826,0.034528263,Other,Control,D7,,,
856,Pasteurellaceae_unclassified,0.001844765,0.018447653,Other,Control,D7,,,
857,Pediococcus,0.00697498,0.069749804,Other,Control,D7,,,
858,Peptococcus,0.001649515,0.016495153,Other,Control,D7,,,
859,Peptostreptococcus,0.010040935,0.100409349,Other,Control,D7,,,
860,Phascolarctobacterium,0.023855822,0.238558219,Other,Control,D7,,,
861,Porphyromonas,0.008234196,0.082341964,Other,Control,D7,,,
862,Prevotella_1,0.003441923,0.034419232,Other,Control,D7,,,
863,Prevotella_2,0.016054356,0.160543556,Other,Control,D7,,,
864,Prevotella_7,0.002036325,0.020363252,Other,Control,D7,,,
865,Prevotella_9,0.103020592,1.030205918,Prevotella_9,Control,D7,,,
866,Prevotellaceae_NK3B31_group,0.01693059,0.169305901,Other,Control,D7,,,
867,Prevotellaceae_UCG-001,0.000418063,0.004180627,Other,Control,D7,,,
868,Prevotellaceae_UCG-003,0.002827369,0.028273689,Other,Control,D7,,,
869,Prevotellaceae_unclassified,0.019124663,0.191246632,Other,Control,D7,,,
870,Pseudoramibacter,0.006065872,0.060658721,Other,Control,D7,,,
871,Rikenellaceae_RC9_gut_group,0.001630747,0.016307467,Other,Control,D7,,,
872,Romboutsia,0.016242775,0.162427753,Other,Control,D7,,,
873,Roseburia,0.000354574,0.003545744,Other,Control,D7,,,
874,Rothia,0.062916222,0.629162223,Other,Control,D7,,,
875,Ruminiclostridium_5,0.00446352,0.044635202,Other,Control,D7,,,
876,Ruminiclostridium_9,0.005972976,0.059729762,Other,Control,D7,,,
877,Ruminococcaceae_ge,0.003548496,0.035484962,Other,Control,D7,,,
878,Ruminococcaceae_NK4A214_group,0.002286827,0.022868271,Other,Control,D7,,,
879,Ruminococcaceae_UCG-002,0.016411703,0.164117028,Other,Control,D7,,,
880,Ruminococcaceae_UCG-005,0.003400477,0.034004772,Other,Control,D7,,,
881,Ruminococcaceae_UCG-008,0.000119601,0.001196012,Other,Control,D7,,,
882,Ruminococcaceae_UCG-010,0.000930425,0.009304246,Other,Control,D7,,,
883,Ruminococcaceae_UCG-014,0.008088948,0.080889478,Other,Control,D7,,,
884,Ruminococcaceae_unclassified,0.006506615,0.065066148,Other,Control,D7,,,
885,Ruminococcus_1,0.002048904,0.020489042,Other,Control,D7,,,
886,Ruminococcus_2,0.002300654,0.02300654,Other,Control,D7,,,
887,Solobacterium,0.001756892,0.017568922,Other,Control,D7,,,
888,Sphingobacterium,0.002681915,0.026819155,Other,Control,D7,,,
889,Staphylococcus,0.004724521,0.047245209,Other,Control,D7,,,
890,Streptococcus,0.858715794,8.587157944,Streptococcus,Control,D7,,,
891,Subdoligranulum,0.022445588,0.22445588,Other,Control,D7,,,
892,Succiniclasticum,0.003252227,0.032522269,Other,Control,D7,,,
893,Succinivibrionaceae_unclassified,0.001911685,0.019116852,Other,Control,D7,,,
894,Syntrophococcus,0.004516338,0.045163379,Other,Control,D7,,,
895,Terrisporobacter,0.06304964,0.630496403,Other,Control,D7,,,
896,Treponema_2,0.003273279,0.032732794,Other,Control,D7,,,
897,Turicibacter,0.02803965,0.280396504,Other,Control,D7,,,
898,uncultured,0.012228128,0.12228128,Other,Control,D7,,,
899,uncultured.1,0.012691167,0.126911671,Other,Control,D7,,,
900,uncultured.2,0.001703444,0.017034441,Other,Control,D7,,,
901,Veillonella,0.00656197,0.065619701,Other,Control,D7,,,
902,Veillonellaceae_unclassified,0.008529596,0.085295963,Other,Control,D7,,,
903,Weeksellaceae_unclassified,0.972136202,9.721362018,Weeksellaceae_unclassified,Control,D7,,,
904,Weissella,0.041035325,0.410353248,Other,Control,D7,,,
905,Acinetobacter,0.003783314,0.054047337,Other,IAV,D10,,,
906,Actinobacillus,1.195469954,17.0781422,Actinobacillus,IAV,D10,,,
907,Actinomyces,0.000931975,0.01331393,Other,IAV,D10,,,
908,Aerococcus,0.00025127,0.00358957,Other,IAV,D10,,,
909,Agathobacter,0.039130445,0.55900635,Other,IAV,D10,,,
910,Alloprevotella,0.022467583,0.320965474,Other,IAV,D10,,,
911,Anaerococcus,0.000822863,0.011755179,Other,IAV,D10,,,
912,Anaerovibrio,0.005744874,0.082069623,Other,IAV,D10,,,
913,Bacteria_unclassified,0.000903674,0.012909622,Other,IAV,D10,,,
914,Bacteroidales_unclassified,0.0038232,0.054617137,Other,IAV,D10,,,
915,Bacteroides,0.003410215,0.048717354,Other,IAV,D10,,,
916,Bergeyella,0.002106616,0.030094508,Other,IAV,D10,,,
917,Blautia,0.037225846,0.531797793,Other,IAV,D10,,,
918,Brachybacterium,0,0,Other,IAV,D10,,,
919,Burkholderiaceae_unclassified,0.002264193,0.032345609,Other,IAV,D10,,,
920,Carnobacteriaceae_unclassified,0.322067082,4.600958317,Carnobacteriaceae_unclassified,IAV,D10,,,
921,Catenibacterium,0.001564815,0.022354498,Other,IAV,D10,,,
922,Catenisphaera,0.008399915,0.119998792,Other,IAV,D10,,,
923,Christensenellaceae_R-7_group,0.004232223,0.060460322,Other,IAV,D10,,,
924,Chryseobacterium,0.009687317,0.138390246,Other,IAV,D10,,,
925,Clostridiales_unclassified,0.000974954,0.013927918,Other,IAV,D10,,,
926,Clostridiales_vadinBB60_group_ge,0.000540259,0.007717979,Other,IAV,D10,,,
927,Clostridium_sensu_stricto_1,0.026549219,0.379274558,Other,IAV,D10,,,
928,Clostridium_sensu_stricto_6,0.004728282,0.06754689,Other,IAV,D10,,,
929,Collinsella,0.008261315,0.118018792,Other,IAV,D10,,,
930,Coprococcus_1,0.001941023,0.027728893,Other,IAV,D10,,,
931,Coprococcus_3,0.003386797,0.04838282,Other,IAV,D10,,,
932,Corynebacterium_1,7.27E-05,0.001039022,Other,IAV,D10,,,
933,Dialister,2.43E-05,0.000346699,Other,IAV,D10,,,
934,Dorea,0.00376986,0.05385515,Other,IAV,D10,,,
935,Eggerthellaceae_unclassified,0.003501502,0.050021453,Other,IAV,D10,,,
936,Empedobacter,2.43E-05,0.000346699,Other,IAV,D10,,,
937,Enhydrobacter,0.01825633,0.260804708,Other,IAV,D10,,,
938,Enterobacteriaceae_unclassified,0.002939236,0.041989091,Other,IAV,D10,,,
939,Enterococcus,0.001180366,0.016862365,Other,IAV,D10,,,
940,Erysipelotrichaceae_unclassified,0.001936872,0.027669599,Other,IAV,D10,,,
941,Escherichia-Shigella,0.006126521,0.087521731,Other,IAV,D10,,,
942,Faecalibacterium,0.020216838,0.288811973,Other,IAV,D10,,,
943,Family_XIII_AD3011_group,0.002850996,0.040728517,Other,IAV,D10,,,
944,Family_XIII_ge,0.001149071,0.016415301,Other,IAV,D10,,,
945,Fusobacterium,0.004203443,0.060049188,Other,IAV,D10,,,
946,Holdemanella,0.002429272,0.03470388,Other,IAV,D10,,,
947,Intestinibacter,0.001921202,0.027445738,Other,IAV,D10,,,
948,Lachnospiraceae_AC2044_group,0,0,Other,IAV,D10,,,
949,Lachnospiraceae_ge,0.00605588,0.086512572,Other,IAV,D10,,,
950,Lachnospiraceae_NK4A136_group,0.008437838,0.120540541,Other,IAV,D10,,,
951,Lachnospiraceae_unclassified,0.019167812,0.273825891,Other,IAV,D10,,,
952,Lachnospiraceae_XPB1014_group,2.42E-05,0.000345625,Other,IAV,D10,,,
953,Lactobacillus,0.050523327,0.721761814,Other,IAV,D10,,,
954,Lactococcus,0.010526411,0.150377298,Other,IAV,D10,,,
955,Leuconostoc,0.000874628,0.012494692,Other,IAV,D10,,,
956,Marvinbryantia,0.00449725,0.064246431,Other,IAV,D10,,,
957,Megasphaera,0.014829055,0.211843642,Other,IAV,D10,,,
958,Mogibacterium,0.007232779,0.103325418,Other,IAV,D10,,,
959,Mollicutes_RF39_ge,0.00266572,0.038081713,Other,IAV,D10,,,
960,Moraxella,2.833047706,40.47211009,Moraxella,IAV,D10,,,
961,Moraxellaceae_unclassified,0.0009054,0.012934282,Other,IAV,D10,,,
962,Muribaculaceae_ge,0.005867675,0.083823935,Other,IAV,D10,,,
963,Muribaculaceae_unclassified,4.84E-05,0.00069125,Other,IAV,D10,,,
964,Neisseriaceae_unclassified,0.328695604,4.695651489,Neisseriaceae_unclassified,IAV,D10,,,
965,Olsenella,0.005416021,0.077371727,Other,IAV,D10,,,
966,Oscillospira,0.003683434,0.052620484,Other,IAV,D10,,,
967,Parabacteroides,0.002419663,0.034566609,Other,IAV,D10,,,
968,Parvimonas,0.000686936,0.009813374,Other,IAV,D10,,,
969,Pasteurellaceae_unclassified,0.002614197,0.037345677,Other,IAV,D10,,,
970,Pediococcus,0.006738953,0.096270757,Other,IAV,D10,,,
971,Peptococcus,0.000724587,0.010351241,Other,IAV,D10,,,
972,Peptostreptococcus,0.001147404,0.01639149,Other,IAV,D10,,,
973,Phascolarctobacterium,0.032687511,0.466964436,Other,IAV,D10,,,
974,Porphyromonas,0.002189953,0.031285044,Other,IAV,D10,,,
975,Prevotella_1,0.007291574,0.104165343,Other,IAV,D10,,,
976,Prevotella_2,0.010510734,0.150153347,Other,IAV,D10,,,
977,Prevotella_7,0.007245618,0.103508835,Other,IAV,D10,,,
978,Prevotella_9,0.234279621,3.346851724,Prevotella_9,IAV,D10,,,
979,Prevotellaceae_NK3B31_group,0.115365758,1.648082254,Prevotellaceae_NK3B31_group,IAV,D10,,,
980,Prevotellaceae_UCG-001,0.000140956,0.002013664,Other,IAV,D10,,,
981,Prevotellaceae_UCG-003,0.001745338,0.024933404,Other,IAV,D10,,,
982,Prevotellaceae_unclassified,0.01792225,0.256032147,Other,IAV,D10,,,
983,Pseudoramibacter,0.000722523,0.010321756,Other,IAV,D10,,,
984,Rikenellaceae_RC9_gut_group,0.002662732,0.038039026,Other,IAV,D10,,,
985,Romboutsia,0.001818599,0.025979979,Other,IAV,D10,,,
986,Roseburia,0.003479661,0.049709442,Other,IAV,D10,,,
987,Rothia,0.005004457,0.071492244,Other,IAV,D10,,,
988,Ruminiclostridium_5,0.001607531,0.022964726,Other,IAV,D10,,,
989,Ruminiclostridium_9,0.00248359,0.035479862,Other,IAV,D10,,,
990,Ruminococcaceae_ge,0.004858891,0.069412725,Other,IAV,D10,,,
991,Ruminococcaceae_NK4A214_group,0.003674558,0.052493683,Other,IAV,D10,,,
992,Ruminococcaceae_UCG-002,0.009152112,0.130744463,Other,IAV,D10,,,
993,Ruminococcaceae_UCG-005,0.006030978,0.086156826,Other,IAV,D10,,,
994,Ruminococcaceae_UCG-008,0.001844334,0.02634763,Other,IAV,D10,,,
995,Ruminococcaceae_UCG-010,0.000744793,0.010639894,Other,IAV,D10,,,
996,Ruminococcaceae_UCG-014,0.006251771,0.089311011,Other,IAV,D10,,,
997,Ruminococcaceae_unclassified,0.005447715,0.077824497,Other,IAV,D10,,,
998,Ruminococcus_1,0.003766714,0.053810195,Other,IAV,D10,,,
999,Ruminococcus_2,0.005410714,0.077295909,Other,IAV,D10,,,
1000,Solobacterium,0.003019336,0.043133367,Other,IAV,D10,,,
1001,Sphingobacterium,7.00E-05,0.001000118,Other,IAV,D10,,,
1002,Staphylococcus,0.003565653,0.050937899,Other,IAV,D10,,,
1003,Streptococcus,0.584051317,8.34359024,Streptococcus,IAV,D10,,,
1004,Subdoligranulum,0.013076669,0.186809562,Other,IAV,D10,,,
1005,Succiniclasticum,0.001153322,0.016476028,Other,IAV,D10,,,
1006,Succinivibrionaceae_unclassified,0.006186975,0.088385354,Other,IAV,D10,,,
1007,Syntrophococcus,0.002220933,0.031727614,Other,IAV,D10,,,
1008,Terrisporobacter,0.018187993,0.259828469,Other,IAV,D10,,,
1009,Treponema_2,0.001535713,0.021938761,Other,IAV,D10,,,
1010,Turicibacter,0.007149119,0.102130265,Other,IAV,D10,,,
1011,uncultured,0.011327334,0.161819059,Other,IAV,D10,,,
1012,uncultured.1,0.024558416,0.350834519,Other,IAV,D10,,,
1013,uncultured.2,0.001323883,0.018912613,Other,IAV,D10,,,
1014,Veillonella,0.001619953,0.023142189,Other,IAV,D10,,,
1015,Veillonellaceae_unclassified,0.015784448,0.225492113,Other,IAV,D10,,,
1016,Weeksellaceae_unclassified,0.64087292,9.155327435,Weeksellaceae_unclassified,IAV,D10,,,
1017,Weissella,0.036547363,0.522105184,Other,IAV,D10,,,
1018,Acinetobacter,0.005172035,0.051720345,Other,Control,D10,,,
1019,Actinobacillus,1.174454925,11.74454925,Actinobacillus,Control,D10,,,
1020,Actinomyces,0.002618536,0.026185358,Other,Control,D10,,,
1021,Aerococcus,0.001246141,0.012461414,Other,Control,D10,,,
1022,Agathobacter,0.015354449,0.153544493,Other,Control,D10,,,
1023,Alloprevotella,0.028778177,0.287781767,Other,Control,D10,,,
1024,Anaerococcus,0.006432095,0.06432095,Other,Control,D10,,,
1025,Anaerovibrio,0.003332638,0.033326377,Other,Control,D10,,,
1026,Bacteria_unclassified,0.002062352,0.020623524,Other,Control,D10,,,
1027,Bacteroidales_unclassified,0.00397188,0.039718802,Other,Control,D10,,,
1028,Bacteroides,0.007436714,0.074367137,Other,Control,D10,,,
1029,Bergeyella,0.009824135,0.098241355,Other,Control,D10,,,
1030,Blautia,0.057046381,0.570463813,Other,Control,D10,,,
1031,Brachybacterium,1.62E-05,0.000162411,Other,Control,D10,,,
1032,Burkholderiaceae_unclassified,0.007355928,0.073559276,Other,Control,D10,,,
1033,Carnobacteriaceae_unclassified,0.423661518,4.236615181,Carnobacteriaceae_unclassified,Control,D10,,,
1034,Catenibacterium,0.002321109,0.023211089,Other,Control,D10,,,
1035,Catenisphaera,0.012006197,0.12006197,Other,Control,D10,,,
1036,Christensenellaceae_R-7_group,0.003307895,0.033078952,Other,Control,D10,,,
1037,Chryseobacterium,0.05100781,0.510078098,Other,Control,D10,,,
1038,Clostridiales_unclassified,0.000881649,0.008816494,Other,Control,D10,,,
1039,Clostridiales_vadinBB60_group_ge,0.000883719,0.008837192,Other,Control,D10,,,
1040,Clostridium_sensu_stricto_1,0.056783514,0.567835141,Other,Control,D10,,,
1041,Clostridium_sensu_stricto_6,0.003195081,0.031950807,Other,Control,D10,,,
1042,Collinsella,0.015204641,0.152046412,Other,Control,D10,,,
1043,Coprococcus_1,0.003436863,0.034368633,Other,Control,D10,,,
1044,Coprococcus_3,0.005993691,0.059936908,Other,Control,D10,,,
1045,Corynebacterium_1,0.000438625,0.004386252,Other,Control,D10,,,
1046,Dialister,0.015998087,0.159980868,Other,Control,D10,,,
1047,Dorea,0.007429481,0.074294808,Other,Control,D10,,,
1048,Eggerthellaceae_unclassified,0.009315203,0.093152035,Other,Control,D10,,,
1049,Empedobacter,0.001118643,0.011186429,Other,Control,D10,,,
1050,Enhydrobacter,0.025287196,0.252871957,Other,Control,D10,,,
1051,Enterobacteriaceae_unclassified,0.004564665,0.045646647,Other,Control,D10,,,
1052,Enterococcus,0.006670421,0.066704207,Other,Control,D10,,,
1053,Erysipelotrichaceae_unclassified,0.0032172,0.032172,Other,Control,D10,,,
1054,Escherichia-Shigella,0.026902958,0.269029578,Other,Control,D10,,,
1055,Faecalibacterium,0.021393216,0.213932163,Other,Control,D10,,,
1056,Family_XIII_AD3011_group,0.005146646,0.051466462,Other,Control,D10,,,
1057,Family_XIII_ge,0.005583992,0.05583992,Other,Control,D10,,,
1058,Fusobacterium,0.007539081,0.075390805,Other,Control,D10,,,
1059,Holdemanella,0.002298696,0.022986958,Other,Control,D10,,,
1060,Intestinibacter,0.001978076,0.019780757,Other,Control,D10,,,
1061,Lachnospiraceae_AC2044_group,0.000545146,0.00545146,Other,Control,D10,,,
1062,Lachnospiraceae_ge,0.007929133,0.079291329,Other,Control,D10,,,
1063,Lachnospiraceae_NK4A136_group,0.004028645,0.040286453,Other,Control,D10,,,
1064,Lachnospiraceae_unclassified,0.019233133,0.192331333,Other,Control,D10,,,
1065,Lachnospiraceae_XPB1014_group,0.0002807,0.002807001,Other,Control,D10,,,
1066,Lactobacillus,0.192449899,1.924498988,Lactobacillus,Control,D10,,,
1067,Lactococcus,0.0169568,0.169568004,Other,Control,D10,,,
1068,Leuconostoc,0.01747354,0.174735399,Other,Control,D10,,,
1069,Marvinbryantia,0.00552422,0.055242204,Other,Control,D10,,,
1070,Megasphaera,0.050004505,0.500045054,Other,Control,D10,,,
1071,Mogibacterium,0.015206287,0.152062868,Other,Control,D10,,,
1072,Mollicutes_RF39_ge,0.005915643,0.059156428,Other,Control,D10,,,
1073,Moraxella,4.33194298,43.3194298,Moraxella,Control,D10,,,
1074,Moraxellaceae_unclassified,0.005616447,0.056164472,Other,Control,D10,,,
1075,Muribaculaceae_ge,0.006311358,0.063113577,Other,Control,D10,,,
1076,Muribaculaceae_unclassified,0.000901903,0.009019034,Other,Control,D10,,,
1077,Neisseriaceae_unclassified,0.449191349,4.491913486,Neisseriaceae_unclassified,Control,D10,,,
1078,Olsenella,0.026037745,0.260377453,Other,Control,D10,,,
1079,Oscillospira,0.002740861,0.027408611,Other,Control,D10,,,
1080,Parabacteroides,0.006112114,0.061121135,Other,Control,D10,,,
1081,Parvimonas,0.00338162,0.033816202,Other,Control,D10,,,
1082,Pasteurellaceae_unclassified,0.005271394,0.052713944,Other,Control,D10,,,
1083,Pediococcus,0.013362333,0.133623332,Other,Control,D10,,,
1084,Peptococcus,0.00381559,0.0381559,Other,Control,D10,,,
1085,Peptostreptococcus,0.004468374,0.044683739,Other,Control,D10,,,
1086,Phascolarctobacterium,0.042090834,0.420908343,Other,Control,D10,,,
1087,Porphyromonas,0.008003939,0.080039387,Other,Control,D10,,,
1088,Prevotella_1,0.00416647,0.041664698,Other,Control,D10,,,
1089,Prevotella_2,0.008280423,0.082804229,Other,Control,D10,,,
1090,Prevotella_7,0.001094259,0.010942592,Other,Control,D10,,,
1091,Prevotella_9,0.123361041,1.233610406,Prevotella_9,Control,D10,,,
1092,Prevotellaceae_NK3B31_group,0.046159998,0.461599977,Other,Control,D10,,,
1093,Prevotellaceae_UCG-001,0.000783432,0.007834318,Other,Control,D10,,,
1094,Prevotellaceae_UCG-003,0.006748206,0.067482058,Other,Control,D10,,,
1095,Prevotellaceae_unclassified,0.028664264,0.286642638,Other,Control,D10,,,
1096,Pseudoramibacter,0.005731292,0.057312925,Other,Control,D10,,,
1097,Rikenellaceae_RC9_gut_group,0.006939062,0.069390617,Other,Control,D10,,,
1098,Romboutsia,0.006836591,0.068365915,Other,Control,D10,,,
1099,Roseburia,0.001941932,0.01941932,Other,Control,D10,,,
1100,Rothia,0.05506321,0.5506321,Other,Control,D10,,,
1101,Ruminiclostridium_5,0.003078385,0.030783848,Other,Control,D10,,,
1102,Ruminiclostridium_9,0.001831634,0.018316338,Other,Control,D10,,,
1103,Ruminococcaceae_ge,0.004245352,0.042453525,Other,Control,D10,,,
1104,Ruminococcaceae_NK4A214_group,0.005009233,0.050092335,Other,Control,D10,,,
1105,Ruminococcaceae_UCG-002,0.007585377,0.075853769,Other,Control,D10,,,
1106,Ruminococcaceae_UCG-005,0.007331817,0.073318166,Other,Control,D10,,,
1107,Ruminococcaceae_UCG-008,0.003091629,0.030916294,Other,Control,D10,,,
1108,Ruminococcaceae_UCG-010,0.001182558,0.011825581,Other,Control,D10,,,
1109,Ruminococcaceae_UCG-014,0.008381337,0.083813371,Other,Control,D10,,,
1110,Ruminococcaceae_unclassified,0.006493899,0.064938994,Other,Control,D10,,,
1111,Ruminococcus_1,0.003235811,0.032358115,Other,Control,D10,,,
